logFC AveExpr t P.Value adj.P.Val B
OASL 0.137001299844344 7.01827610205185 2.52507038183617 0.0118510798207804 0.999745836587528 -3.10049936607019
GCH1 0.0653406237524454 6.82973269063333 2.52302740682745 0.011919331932811 0.999745836587528 -3.10536407381225
CD79A -0.117009364666612 8.60378343320741 -2.51326965573062 0.0122501648772425 0.999745836587528 -3.12854611248783
ACP2 0.0532521417403321 6.2368583168963 2.45502171698609 0.0144000952596655 0.999745836587528 -3.26510448512108
CMKLR1 0.0686051723230276 6.38064066174815 2.43891318783059 0.0150507520398762 0.999745836587528 -3.30231770683837
GFRA2 0.0733723924837613 5.7292118434463 2.41421299684816 0.0160989073756473 0.999745836587528 -3.35891392338875
PDLIM1 -0.0722947338268749 7.1915093459 -2.40415455156525 0.0165438459714663 0.999745836587528 -3.38179971965211
VWF -0.0928035815608792 6.26074126091852 -2.38535965163682 0.0174043422137939 0.999745836587528 -3.42431295025805
RDX 0.036610117759232 6.08495029104815 2.36653263764842 0.0183055200827191 0.999745836587528 -3.46657154360336
LGALS3BP 0.0712901944646187 6.19636054337222 2.35760573819725 0.0187469523804553 0.999745836587528 -3.48649408847223
RNF103 -0.0380937176513043 7.3884850096963 -2.33936014221989 0.0196783256827018 0.999745836587528 -3.52698429794495
XAF1 0.13043640772811 8.36857684201111 2.33694560161413 0.0198045667390022 0.999745836587528 -3.53231951609729
RPE 0.0404120995614649 6.18333265546667 2.31750865438873 0.020846890034911 0.999745836587528 -3.57507125470153
MYL9 -0.0936756621502194 6.27614562087593 -2.31468848992025 0.0210020396145107 0.999745836587528 -3.58124517979028
ITGB3 -0.102592671635215 6.91675219000556 -2.31421776727421 0.0210280341471562 0.999745836587528 -3.5822749721913
FAM8A1 0.0648962669419112 7.40687801422593 2.31349381203883 0.0210680677089032 0.999745836587528 -3.58385835707452
NCKAP1L 0.0458896191682099 8.24078360819074 2.31181149307775 0.021161354500805 0.999745836587528 -3.58753593477716
P2RX5 -0.0500916746974746 6.24492949971852 -2.30154428205751 0.0217385434231949 0.999745836587528 -3.60992342540126
VRK2 0.0503939524053452 5.9109634865537 2.28927320047861 0.0224463671031167 0.999745836587528 -3.63655224126904
NLRP1 -0.0719349500134732 8.56875150577222 -2.28791536249821 0.0225259114599348 0.999745836587528 -3.63949024052085
BST2 0.0763718872319891 7.92306265010926 2.28529526210483 0.0226800958839005 0.999745836587528 -3.64515461043873
KDM5D -0.0968010311322136 6.69804094531296 -2.26974310210919 0.0236143540362522 0.999745836587528 -3.67864572322461
RNASE2 -0.137116970031818 8.0303009899963 -2.25855716091796 0.024306861691226 0.999745836587528 -3.70259569276298
RSAD2 0.17282516031732 6.5736718519963 2.24450492871316 0.0252017809747514 0.999745836587528 -3.73251818290784
GUCY1B3 -0.0463253889382996 5.67507520679259 -2.2394119430532 0.0255331180125076 0.999745836587528 -3.74331784610016
IPCEF1 0.0474343649825832 7.25009357607963 2.23658311667741 0.0257187819238151 0.999745836587528 -3.7493059706463
IFIT1 0.207965858287145 8.08799794407593 2.2288937342432 0.0262293864382793 0.999745836587528 -3.76554551115952
ATF5 0.0622995127823089 6.36361104789444 2.20798041282606 0.0276627820418826 0.999745836587528 -3.8094356855098
CTTN -0.0749952997572388 6.7022872017037 -2.2007913658228 0.0281709254185564 0.999745836587528 -3.82442934980654
ZNF197 0.0394457621930105 5.67995181739074 2.19297846125975 0.0287322921317263 0.999745836587528 -3.8406697252074
IL10RA 0.0602641925877222 8.62717559827037 2.1884831249307 0.0290596449685709 0.999745836587528 -3.84998830788819
CXCL10 0.0983919435365497 5.53507140298519 2.18614894227371 0.0292308874960315 0.999745836587528 -3.85481953493134
